symbol,information
192.168.0.4,8.31344994096
192.168.0.5,8.31344994096
192.168.0.46,7.85401832233
192.168.0.123,7.72848744024
192.168.0.122,7.72848744024
192.168.0.121,7.72848744024
192.168.0.120,7.72848744024
192.168.0.127,7.72848744024
192.168.0.126,7.72848744024
192.168.0.125,7.85401832233
192.168.0.124,7.72848744024
192.168.0.233,7.85401832233
192.168.0.232,7.85401832233
192.168.0.129,8.50609501891
192.168.0.128,8.50609501891
192.168.0.237,7.85401832233
192.168.0.236,7.85401832233
192.168.0.235,7.85401832233
192.168.0.234,7.85401832233
192.168.0.58,7.85401832233
192.168.0.59,7.85401832233
192.168.0.9,8.31344994096
192.168.0.161,7.85401832233
192.168.0.156,8.50609501891
192.168.0.50,7.85401832233
192.168.0.51,7.85401832233
192.168.0.52,7.85401832233
192.168.0.160,7.85401832233
192.168.0.54,7.85401832233
192.168.0.55,7.85401832233
192.168.0.56,7.85401832233
192.168.0.57,7.85401832233
192.168.0.157,8.50609501891
192.168.0.138,8.50609501891
192.168.0.139,8.50609501891
192.168.0.134,8.50609501891
192.168.0.135,8.50609501891
192.168.0.136,8.50609501891
192.168.0.137,8.50609501891
192.168.0.130,8.50609501891
192.168.0.131,8.72848744024
192.168.0.132,8.50609501891
192.168.0.133,8.50609501891
192.168.0.224,7.85401832233
192.168.0.225,7.85401832233
192.168.0.226,7.85401832233
192.168.0.227,7.85401832233
192.168.0.220,7.85401832233
192.168.0.169,7.85401832233
192.168.0.222,7.85401832233
192.168.0.223,7.85401832233
192.168.0.8,8.31344994096
192.168.0.168,7.85401832233
192.168.0.228,7.85401832233
192.168.0.229,7.85401832233
192.168.0.49,7.85401832233
192.168.0.48,7.85401832233
192.168.0.43,7.85401832233
192.168.0.42,7.85401832233
192.168.0.41,7.85401832233
192.168.0.40,7.85401832233
192.168.0.47,7.85401832233
192.168.0.239,7.85401832233
192.168.0.45,7.85401832233
192.168.0.44,7.85401832233
192.168.0.238,7.85401832233
192.168.0.149,8.50609501891
192.168.0.148,8.50609501891
192.168.0.141,8.50609501891
192.168.0.140,8.50609501891
192.168.0.143,8.50609501891
192.168.0.142,8.50609501891
192.168.0.145,8.50609501891
192.168.0.144,8.50609501891
192.168.0.147,8.50609501891
192.168.0.146,8.50609501891
192.168.0.251,7.85401832233
192.168.0.250,7.99152184608
192.168.0.253,7.85401832233
192.168.0.159,8.50609501891
192.168.0.254,7.85401832233
192.168.0.231,7.85401832233
192.168.0.76,7.72848744024
192.168.0.77,7.85401832233
192.168.0.74,7.72848744024
192.168.0.75,7.72848744024
192.168.0.72,7.72848744024
192.168.0.73,7.72848744024
192.168.0.70,7.72848744024
192.168.0.71,7.72848744024
192.168.0.210,7.85401832233
192.168.0.78,7.72848744024
192.168.0.79,7.72848744024
192.168.0.152,8.72848744024
192.168.0.230,7.85401832233
192.168.0.153,8.50609501891
192.168.0.150,8.50609501891
192.168.0.158,8.50609501891
192.168.0.151,8.50609501891
192.168.0.98,7.72848744024
192.168.0.99,7.72848744024
192.168.0.94,7.72848744024
192.168.0.95,7.72848744024
192.168.0.96,7.72848744024
192.168.0.97,7.72848744024
192.168.0.90,7.85401832233
192.168.0.91,7.72848744024
192.168.0.92,7.72848744024
192.168.0.93,7.72848744024
192.168.0.242,7.85401832233
192.168.0.243,7.85401832233
192.168.0.240,7.85401832233
192.168.0.241,7.85401832233
192.168.0.246,7.85401832233
192.168.0.154,8.50609501891
192.168.0.244,7.85401832233
192.168.0.245,7.85401832233
192.168.0.248,7.85401832233
192.168.0.155,8.50609501891
192.168.0.61,7.85401832233
192.168.0.60,7.85401832233
192.168.0.63,7.85401832233
192.168.0.62,8.31344994096
192.168.0.65,7.72848744024
192.168.0.64,7.72848744024
192.168.0.67,7.72848744024
192.168.0.66,7.72848744024
192.168.0.69,7.72848744024
192.168.0.68,7.72848744024
192.168.0.247,7.85401832233
192.168.0.167,7.85401832233
192.168.0.166,7.85401832233
192.168.0.165,7.85401832233
192.168.0.164,7.85401832233
192.168.0.163,7.85401832233
192.168.0.162,7.85401832233
192.168.0.89,7.72848744024
192.168.0.88,7.72848744024
192.168.0.87,7.72848744024
192.168.0.86,7.72848744024
192.168.0.85,7.72848744024
192.168.0.84,7.72848744024
192.168.0.83,7.72848744024
192.168.0.82,7.72848744024
192.168.0.81,7.72848744024
192.168.0.80,7.72848744024
192.168.0.53,7.85401832233
192.168.0.249,7.85401832233
192.168.0.7,8.31344994096
192.168.0.14,8.31344994096
192.168.0.15,8.31344994096
192.168.0.16,8.31344994096
192.168.0.17,8.31344994096
192.168.0.10,10.313449941
192.168.0.200,7.85401832233
192.168.0.3,8.31344994096
192.168.0.13,11.313449941
192.168.0.201,7.85401832233
192.168.0.18,11.313449941
192.168.0.19,7.99152184608
192.168.0.11,8.31344994096
192.168.0.170,7.85401832233
192.168.0.171,7.99152184608
192.168.0.172,7.99152184608
192.168.0.173,7.99152184608
192.168.0.174,7.99152184608
192.168.0.175,7.85401832233
192.168.0.176,7.85401832233
192.168.0.177,7.85401832233
192.168.0.178,7.85401832233
192.168.0.179,7.85401832233
192.168.0.208,7.85401832233
192.168.0.23,10.313449941
192.168.0.25,11.313449941
192.168.0.252,7.85401832233
192.168.0.24,10.313449941
192.168.0.219,7.85401832233
192.168.0.27,8.31344994096
192.168.0.218,7.85401832233
192.168.0.26,11.313449941
192.168.0.209,7.85401832233
192.168.0.22,11.313449941
192.168.0.21,11.313449941
192.168.0.105,7.72848744024
192.168.0.104,7.72848744024
192.168.0.107,7.72848744024
192.168.0.106,7.72848744024
192.168.0.101,7.72848744024
192.168.0.100,7.72848744024
192.168.0.103,7.72848744024
192.168.0.102,7.72848744024
192.168.0.215,7.85401832233
192.168.0.214,7.85401832233
192.168.0.217,7.85401832233
192.168.0.216,7.85401832233
192.168.0.109,7.85401832233
192.168.0.108,7.72848744024
192.168.0.213,7.99152184608
192.168.0.212,7.85401832233
192.168.0.12,8.31344994096
192.168.0.189,7.85401832233
192.168.0.188,7.85401832233
192.168.0.185,7.85401832233
192.168.0.184,7.85401832233
192.168.0.187,7.85401832233
192.168.0.186,7.85401832233
192.168.0.181,7.85401832233
192.168.0.180,7.85401832233
192.168.0.183,7.85401832233
192.168.0.182,7.99152184608
192.168.0.32,7.85401832233
192.168.0.33,7.85401832233
192.168.0.30,8.31344994096
192.168.0.31,8.31344994096
192.168.0.36,7.85401832233
192.168.0.37,7.85401832233
192.168.0.34,7.99152184608
192.168.0.35,7.85401832233
192.168.0.38,7.85401832233
192.168.0.39,7.99152184608
192.168.0.116,7.72848744024
192.168.0.117,7.72848744024
192.168.0.114,7.72848744024
192.168.0.115,7.72848744024
192.168.0.112,7.72848744024
192.168.0.113,7.72848744024
192.168.0.110,7.72848744024
192.168.0.111,7.72848744024
192.168.0.206,7.85401832233
192.168.0.207,7.99152184608
192.168.0.204,7.85401832233
192.168.0.205,7.99152184608
192.168.0.202,7.85401832233
192.168.0.203,7.85401832233
192.168.0.118,7.72848744024
192.168.0.119,7.72848744024
192.168.0.2,8.31344994096
192.168.0.29,8.31344994096
192.168.0.28,8.31344994096
192.168.0.198,7.85401832233
192.168.0.199,7.85401832233
192.168.0.196,7.85401832233
192.168.0.197,7.85401832233
192.168.0.194,7.85401832233
192.168.0.195,7.99152184608
192.168.0.192,7.85401832233
192.168.0.193,7.85401832233
192.168.0.190,7.85401832233
192.168.0.191,7.99152184608
192.168.0.1,9.31344994096
192.168.0.211,7.85401832233
192.168.0.6,8.31344994096
192.168.0.221,7.85401832233
